Genes;samples;counts;condition
SLC16A3;Ctrl_B1;8,42192116900291e+02;Ctrl
SLC16A3;DM1_16;2,04431223171668e+02;DM1
SLC16A3;DM1_38;3,48725240277273e+02;DM1
SLC16A3;Ctrl_B9;2,91487426981671e+02;Ctrl
SLC16A3;Ctrl_B3;8,15096383867940e+02;Ctrl
SLC16A3;Ctrl_B4;1,49970730000542e+03;Ctrl
SLC16A3;Ctrl_B7;1,48867913140226e+03;Ctrl
SLC16A3;DM1_19;7,85946227260340e+02;DM1
SLC16A3;DM1_35;5,51545707387797e+01;DM1
SLC16A3;DM1_43;4,90277805796573e+02;DM1
SLC16A3;DM1_18;1,68684626811110e+02;DM1
SLC16A3;DM1_44;1,37535548139845e+02;DM1
SLC16A3;DM1_15;1,14256773711830e+02;DM1
SLC16A3;DM1_50;4,23558548080770e+01;DM1
SLC16A3;DM1_32;3,00297895621777e+02;DM1
SLC16A3;DM1_37;2,22300920849581e+02;DM1
SLC16A3;DM1_13;4,59167821677577e+02;DM1
SLC16A3;DM1_21;3,50584300743996e+02;DM1
SLC16A3;DM1_48;4,00190142799533e+02;DM1
SLC16A3;DM1_40;3,43775121479056e+02;DM1
SLC16A3;DM1_54;3,28442734870647e+02;DM1
SLC16A3;DM1_46;5,55325043309058e+02;DM1
SLC16A3;DM1_51;8,36365671424373e+01;DM1
SLC16A3;DM1_31;8,75556574522440e+01;DM1
SLC16A3;DM1_47;6,63410653184441e+01;DM1
SLC16A3;DM1_23;1,11922936166014e+02;DM1
SLC16A3;DM1_24;3,83744566215358e+01;DM1
SLC16A3;DM1_27;6,82977510672343e+02;DM1
HBA2;DM1_41;8,63976062252216e+02;DM1
HBA2;DM1_36;2,91560867084210e+02;DM1
HBA2;DM1_53;1,11592410543323e+03;DM1
HBA2;DM1_45;2,83143097435954e+02;DM1
HBA2;DM1_17;3,77399796697352e+02;DM1
HBA2;DM1_22;3,10861702160254e+02;DM1
HBA2;DM1_39;8,15464551438112e+02;DM1
HBA2;DM1_34;7,05340565502373e+02;DM1
HBA2;DM1_25;3,61047487813273e+02;DM1
HBA2;DM1_33;5,25392957877938e+01;DM1
HBA2;DM1_26;8,93689346266557e+02;DM1
HBA2;DM1_30;1,06570624184826e+02;DM1
HBA2;DM1_52;1,79537749981290e+02;DM1
HBA2;Ctrl_B2;3,00703658710636e+03;Ctrl
HBA2;Ctrl_B8;1,96509279157769e+03;Ctrl
HBA2;DM1_20;6,66929109339128e+02;DM1
HBA2;DM1_14;2,11024800516307e+03;DM1
HBA2;DM1_29;4,06171548784607e+02;DM1
HBA2;DM1_42;1,35560649353055e+02;DM1
HBA2;Ctrl_B10;1,39818613764538e+03;Ctrl
HBA2;Ctrl_B6;1,07559904541665e+03;Ctrl
HBA2;DM1_56;9,36392182649553e+02;DM1
HBA2;Ctrl_B11;9,92397047958594e+02;Ctrl
HBA2;DM1_28;6,38423473160864e+02;DM1
HBA2;Ctrl_B5;1,41064453211827e+03;Ctrl
HBA2;DM1_55;1,18972371364963e+03;DM1
HBA2;Ctrl_B1;9,52513515775072e+02;Ctrl
HBA2;DM1_16;2,45701376206324e+02;DM1
HBA2;DM1_38;4,34445411071686e+02;DM1
HBA2;Ctrl_B9;1,88520439788146e+03;Ctrl
HBA2;Ctrl_B3;3,51207019083361e+02;Ctrl
HBA2;Ctrl_B4;1,49808482546520e+03;Ctrl
HBA2;Ctrl_B7;1,04712176191854e+03;Ctrl
HBA2;DM1_19;1,43435186475012e+02;DM1
HBA2;DM1_35;6,89432134234746e+01;DM1
HBA2;DM1_43;9,04661214411015e+02;DM1
HBA2;DM1_18;2,91483539075156e+02;DM1
HBA2;DM1_44;2,02654419912180e+02;DM1
HBA2;DM1_15;2,17557418437594e+02;DM1
HBA2;DM1_50;1,13255872638988e+02;DM1
HBA2;DM1_32;1,21659147457027e+02;DM1
HBA2;DM1_37;4,68097060975948e+02;DM1
HBA2;DM1_13;5,37952648989547e+02;DM1
HBA2;DM1_21;3,62382810865188e+02;DM1
HBA2;DM1_48;1,13982728172367e+03;DM1
HBA2;DM1_40;8,40339185837693e+01;DM1
HBA2;DM1_54;1,43832710078793e+02;DM1
HBA2;DM1_46;1,70942161268962e+03;DM1
HBA2;DM1_51;4,70698819731857e+02;DM1
HBA2;DM1_31;4,29944360015493e+02;DM1
HBA2;DM1_47;9,86712778169658e+02;DM1
HBA2;DM1_23;6,16442425508787e+02;DM1
HBA2;DM1_24;1,62236564132632e+02;DM1
HBA2;DM1_27;1,51082903876003e+02;DM1
ALX4;DM1_41;1,58439917877637e+02;DM1
ALX4;DM1_36;1,10536812246211e+02;DM1
ALX4;DM1_53;1,43324290496974e+02;DM1
ALX4;DM1_45;8,27159610487058e+01;DM1
ALX4;DM1_17;1,82461885180125e+02;DM1
ALX4;DM1_22;4,48006570760367e+02;DM1
ALX4;DM1_39;2,38971049434075e+02;DM1
ALX4;DM1_34;2,92782876246268e+01;DM1
ALX4;DM1_25;5,71733553021019e+01;DM1
ALX4;DM1_33;3,58222471280412e+01;DM1
ALX4;DM1_26;1,01725411118444e+02;DM1
ALX4;DM1_30;2,00655986958878e+01;DM1
ALX4;DM1_52;1,96369414042036e+02;DM1
ALX4;Ctrl_B2;1,54902077893438e+01;Ctrl
ALX4;Ctrl_B8;2,40525433485641e+00;Ctrl
ALX4;DM1_20;1,44793819790732e+02;DM1
ALX4;DM1_14;1,48731438350166e+02;DM1
ALX4;DM1_29;6,55115401265495e+00;DM1
ALX4;DM1_42;5,74057851852224e+01;DM1
ALX4;Ctrl_B10;1,16905195455299e+01;Ctrl
ALX4;Ctrl_B6;2,68899761354161e+00;Ctrl
ALX4;DM1_56;5,15445238155717e+00;DM1
ALX4;Ctrl_B11;1,37017343899609e+01;Ctrl
ALX4;DM1_28;1,99507335362770e+01;DM1
ALX4;Ctrl_B5;1,54803240836024e+01;Ctrl
ALX4;DM1_55;1,13042284318735e+02;DM1
ALX4;Ctrl_B1;7,21054894606413e+00;Ctrl
ALX4;DM1_16;1,03175382586640e+02;DM1
ALX4;DM1_38;2,20144984085653e+02;DM1
ALX4;Ctrl_B9;1,32494284991669e+01;Ctrl
ALX4;Ctrl_B3;2,22074695907511e+01;Ctrl
ALX4;Ctrl_B4;8,65319754781344e+00;Ctrl
ALX4;Ctrl_B7;1,26159248423920e+01;Ctrl
ALX4;DM1_19;2,49537927155158e+02;DM1
ALX4;DM1_35;3,64632995439710e+02;DM1
ALX4;DM1_43;1,87206179715926e+02;DM1
ALX4;DM1_18;1,65188572369429e+02;DM1
ALX4;DM1_44;1,67288136104792e+02;DM1
ALX4;DM1_15;2,66077418233028e+02;DM1
ALX4;DM1_50;3,72915678201547e+01;DM1
ALX4;DM1_32;1,18579169040394e+02;DM1
ALX4;DM1_37;7,59076315096131e+01;DM1
ALX4;DM1_13;2,92570738924140e+02;DM1
ALX4;DM1_21;2,59567222666228e+02;DM1
ALX4;DM1_48;1,14340040799867e+02;DM1
ALX4;DM1_40;1,05042398229712e+02;DM1
ALX4;DM1_54;8,45202523143425e+01;DM1
ALX4;DM1_46;1,99853820707243e+02;DM1
ALX4;DM1_51;3,11205831227674e+02;DM1
ALX4;DM1_31;2,27644709375835e+02;DM1
ALX4;DM1_47;1,38431689631153e+02;DM1
ALX4;DM1_23;1,77759957440139e+02;DM1
ALX4;DM1_24;7,06697914020362e+01;DM1
ALX4;DM1_27;8,89940392694265e+01;DM1
KLHL4;DM1_41;3,16879835755274e+02;DM1
KLHL4;DM1_36;2,16801670395951e+02;DM1
KLHL4;DM1_53;8,31634772019482e+01;DM1
KLHL4;DM1_45;3,65859058484660e+01;DM1
